numPosto;numEndereco;tipo;concentrador;numLed;concentradorSecundario;numLedSecundario;coluna;capacidade;descricao
19;149987;FLOWRACK;;;;;;;
19;156388;FLOWRACK;;;;;;;
19;156389;FLOWRACK;;;;;;;
19;156390;FLOWRACK;;;;;;;
19;156391;FLOWRACK;;;;;;;
19;156392;FLOWRACK;;;;;;;
19;156393;FLOWRACK;;;;;;;
19;156394;FLOWRACK;;;;;;;
19;156395;FLOWRACK;;;;;;;
19;149988;FLOWRACK;;;;;;;
19;156396;FLOWRACK;;;;;;;
19;156397;FLOWRACK;;;;;;;
19;156398;FLOWRACK;;;;;;;
19;156399;FLOWRACK;;;;;;;
19;156400;FLOWRACK;;;;;;;
19;156401;FLOWRACK;;;;;;;
19;156402;FLOWRACK;;;;;;;
19;156403;FLOWRACK;;;;;;;
19;149989;FLOWRACK;;;;;;;
19;156404;FLOWRACK;;;;;;;
19;156405;FLOWRACK;;;;;;;
19;156406;FLOWRACK;;;;;;;
19;156407;FLOWRACK;;;;;;;
19;156408;FLOWRACK;;;;;;;
19;156409;FLOWRACK;;;;;;;
19;156410;FLOWRACK;;;;;;;
19;156411;FLOWRACK;;;;;;;
19;149990;FLOWRACK;;;;;;;
19;156412;FLOWRACK;;;;;;;
19;156413;FLOWRACK;;;;;;;
19;156414;FLOWRACK;;;;;;;
19;156415;FLOWRACK;;;;;;;
19;156416;FLOWRACK;;;;;;;
19;156417;FLOWRACK;;;;;;;
19;156418;FLOWRACK;;;;;;;
19;156419;FLOWRACK;;;;;;;
19;149975;FLOWRACK;;;;;;;
19;156420;FLOWRACK;;;;;;;
19;156421;FLOWRACK;;;;;;;
19;156422;FLOWRACK;;;;;;;
19;156423;FLOWRACK;;;;;;;
19;156424;FLOWRACK;;;;;;;
19;156425;FLOWRACK;;;;;;;
19;156426;FLOWRACK;;;;;;;
19;149976;FLOWRACK;;;;;;;
19;156427;FLOWRACK;;;;;;;
19;156428;FLOWRACK;;;;;;;
19;156429;FLOWRACK;;;;;;;
19;156430;FLOWRACK;;;;;;;
19;156431;FLOWRACK;;;;;;;
19;156432;FLOWRACK;;;;;;;
19;156433;FLOWRACK;;;;;;;
19;149977;FLOWRACK;;;;;;;
19;156434;FLOWRACK;;;;;;;
19;156435;FLOWRACK;;;;;;;
19;156436;FLOWRACK;;;;;;;
19;156437;FLOWRACK;;;;;;;
19;156438;FLOWRACK;;;;;;;
19;156439;FLOWRACK;;;;;;;
19;156440;FLOWRACK;;;;;;;
19;149978;FLOWRACK;;;;;;;
19;156441;FLOWRACK;;;;;;;
19;156442;FLOWRACK;;;;;;;
19;156443;FLOWRACK;;;;;;;
19;156444;FLOWRACK;;;;;;;
19;156445;FLOWRACK;;;;;;;
19;156446;FLOWRACK;;;;;;;
19;156447;FLOWRACK;;;;;;;
19;149991;FLOWRACK;;;;;;;
19;149992;FLOWRACK;;;;;;;
19;156448;FLOWRACK;;;;;;;
19;156449;FLOWRACK;;;;;;;
19;156450;FLOWRACK;;;;;;;
19;156451;FLOWRACK;;;;;;;
19;156452;FLOWRACK;;;;;;;
19;156453;FLOWRACK;;;;;;;
19;149993;FLOWRACK;;;;;;;
19;156454;FLOWRACK;;;;;;;
19;156455;FLOWRACK;;;;;;;
19;156456;FLOWRACK;;;;;;;
19;156457;FLOWRACK;;;;;;;
19;156458;FLOWRACK;;;;;;;
19;156459;FLOWRACK;;;;;;;
19;156460;FLOWRACK;;;;;;;
19;149994;FLOWRACK;;;;;;;
19;156461;FLOWRACK;;;;;;;
19;156462;FLOWRACK;;;;;;;
19;156463;FLOWRACK;;;;;;;
19;156464;FLOWRACK;;;;;;;
19;156465;FLOWRACK;;;;;;;
19;156466;FLOWRACK;;;;;;;
19;156467;FLOWRACK;;;;;;;
19;149995;FLOWRACK;;;;;;;
19;156468;FLOWRACK;;;;;;;
19;156469;FLOWRACK;;;;;;;
19;156470;FLOWRACK;;;;;;;
19;156471;FLOWRACK;;;;;;;
19;156472;FLOWRACK;;;;;;;
19;156473;FLOWRACK;;;;;;;
1019;PC19.01;FLOWRACK;;;;;;;
1019;PC19.02;FLOWRACK;;;;;;;
1019;PC19.03;FLOWRACK;;;;;;;
1019;PC19.04;FLOWRACK;;;;;;;
1019;PC19.05;FLOWRACK;;;;;;;
1019;PC19.06;FLOWRACK;;;;;;;
